,分词结果,label,act_label,预测结果,人工分类
358,卡 达标 消费力 情愿 支付宝 花 看官 说 消费,10,10,市场活动,市场活动
359,人品分 涨  多分 金凤卡 固定 额度  月 最低 款 八月 额度 优逸 白金卡 金凤卡 月 最低 款 不用 十月份 人品分  几分 金凤卡 全额 还款 一看 人品分  分 金凤卡 零时 额度  总额 度  情况,22,20,额度调整,还款
360,卡 封 证据 解封 搞 注销 半年 放着不管,0,0,APP,APP
361,二卡 白麒麟 下卡 收到 邀请 短 信 邀请 码  线上 额度 .  我金卡 .  大佬 开卡,10,10,市场活动,市场活动
362,首卡 审核 速度 吓死 权限 图 首卡 一年 前 拒过 打开 邮箱 有个 开卡 邀请 邮件 点 分 点 发短信 太 速度 像是 弱势群体 作风 申请 环球  基础 版于  审核 信用 额度 工作日 买单吧     查询 邮寄 进度 请 随卡 夹 寄 卡函 提示 操作 激活,6,6,卡寄送,卡寄送
363,求助 情况 年 邀请 额度  没提 过额 账户 时  期  期 只能 期 临额 情况 回到 优质 人品分,22,22,额度调整,额度调整
364,警告 怕怕 周周刷 刷  万多 警告 秋后算账,10,10,市场活动,市场活动
365,首卡 年  现固额  从没 邀请 白麒麟 首卡 年  现固额  临时  从没 邀请,10,10,市场活动,市场活动
366,第四轮  到货 白色 送 地平线 街霸 买个 手柄,20,20,还款,还款
367,不要脸 小交 月点 提额 就查 征信 查 不让 提 消 第一个 目标,0,20,APP,还款
368,办 沃尔玛 金卡 羊毛 撸 问下 卡有 权益,16,16,积分,积分
369,三万 调到 . 万 金卡用 半年 整 三万 调到 . 万 算是 水平 算 内心 调 少,20,20,还款,还款
370,逾期 逾期 月 催收 说,20,20,还款,还款
371,有风控 降成  销卡 申 风控,21,21,销卡、销户,销卡、销户
372,业务员 上门 办卡 回访 电话 拒 怎么回事,13,13,申请,申请
373,标准 金卡 优逸 白金 额度 高 近期 放水 大专 文凭 工作 稳定 月 只查 次 征信 卡   卡种 稳点 额度 高点 不行 蜀 门联 民卡,22,22,额度调整,额度调整
374,妈 无语 几个 电话 推销 尼玛 妈 无语 几个 电话 推销 尼玛 拒接 这回 吃饱 撑 忙 要死 一连几天 推销 接 电话 狠批 一顿 这回 银监会 投诉,9,9,客服热线,客服热线
375,降到 有没有  电话 降 我认 关键 没到 还款 日 打来 报 一遍 账单 金额 催命 真糟 心,20,19,还款,账单
376,新户 申请 白麒麟 机会 没什么 交集 唯一 交集 公积金 房补 账户 每月 缴纳 额  买房 取过 公积金 账户 里 钱 看不看 公积金,10,10,市场活动,市场活动
377,讨论区 首页 没什么 谈 提额 一年 多不提 只能 冷冻 隔壁 铁公鸡 讨论区 一派 喜庆,10,0,市场活动,APP
378,风控 卡 额度  套 几次 电话 估计 风控 明天 款  最低 还款 降额 求助,20,20,还款,还款
379,有容 时容 差 如题,20,20,还款,还款
380,秒 拒,20,20,还款,还款
381,消费 三千多 收到 电话 卡消费 没收 电话 几十块 买 吃 鸡 游戏 收到 电话 昨晚 三星  刷 超市 三千多 收到 电话 问 消费,9,5,客服热线,催收
382,销卡 卡 背面 位数 客服 电话 能销 背面 位数 关键 卡 丢 想 销卡 不想 补 销卡,21,21,销卡、销户,销卡、销户
383,发钱 领 喵 发破 积分 刷卡 挑战赛,16,16,积分,积分
384,申请 金卡 降级 普卡有 留 额度 坑爹,13,22,申请,额度调整
385,好享贷 提额 有无 前 几天 接 邀请 电话 开通 需求 不时之需 开,8,8,好享贷,好享贷
386,号 外号 外 年 跨年度 周周刷 活动 条款 细则 活动 时间 年 月 日至 年 月 日 消费 累计 注册 时间 简称 活动 期间 活动 对象 持卡人 但仅 持有  单位 公务 未 受邀 持卡人 简称 持卡人 活动 内容 活动 期间 成功 注册 活动 持卡人 刷 指定 消费 单周 刷 笔且 每笔 实付  元 累计 达标 任意 周及 无需 连续 即可 指定 时段 买单吧  选择 心仪 礼品 指定 消费 金额 排名 达标 即可 奖励 每位 持卡人 限 获奖 活动 期间 共有 轮选奖 机会 持卡人 每轮 选择 达标 周 低 周数 礼品 如当轮 指定 消费 金额 排名 未达标 未 奖品 一轮 需 选择 奖品 排名 总体 活动 规则 持卡人 需在 活动 期间 买单吧  注册 参与 活动 注册 活动 资格 参与 奖品 选择 持卡人 名下 任意 指定 主卡 成功 注册 名下 指定 主卡均 无需 注册 持卡人 每轮 选择 奖品 选择 修改 持卡人 每轮 选择 周 奖励 需 笔  元 指定 消费 周数 即可 获赠 积 分 奖励 选择 周 奖励 需 笔  元 指定 消费 周数外 需 选定 奖品 持卡人 指定 期间 指定 消费 金额 排名 排名 前 指定 位数 持卡人 方可 奖励 每轮 中奖 一轮 奖品 选择 开放 前 买单吧  公示 持卡人 某轮 所选 奖品 排名 失败 需在 轮次 选择 奖品 排名 持卡人 某轮 成功 获奖 资格 参与 剩余 轮次 奖品 选择 活动 期间 主 卡持卡 人仅 奖励 重复 获奖 持卡人 活动 结束 轮次 未 选择 奖品 视作 自动 放弃 获奖 机会 奖励 联名卡 包含 乐购 卜蜂 莲花 华润 万家 华润 苏果 东方航空 国航 凤凰 知音 涉及 新 联名卡 上线 官 网 公告 为准 个人消费 总金额 并列 奖励 给予 交易 达标 时间 排序 礼品 涉及 多款 颜色 随机 发送 消费 统计 规则 活动 以主 卡持卡 人为 获赠 持卡人 名下 张 指定 主卡 指定 消费 笔数 金额 合并 计算 附属卡 消费 统计 卡 消费 活动 单周 指 活动 期间 自然 周 周一 周日 系统 记录 交易 时间 北京 时间 为准 美元 账户 消费 美元 元 人民币 折算 指定 支付方 式 网上 消费 计入 活动 消费 笔数 金额 统计 活动 指定 消费 包含 计入 达标 笔数 计入 达标 金额 取现 转账 交易  指定 商户 类别 代码 消费 计入 符合 活动 消费 指定 商户 类别 代码 包含                 公示 名单 指定 商户 代码 消费 计入 符合 活动 消费 后续 网站 买单吧  公示  持卡人  电子 现金 账户 脱机 消费  点 明确规定 计入 活动 消费 网络 支付 交易 网络 支付 交易  撤销 退回 退货 消费 未 入账 预授权 交易 消费 有权 活动 期间 活动 结束 扣减 退货 消费 全额 退货 导致 单笔 指定 消费 低于 人民币  元 退货 退货 交易 累计 笔数 金额 中 扣除 注 退货 延迟 性 发生 退货 补刷  持卡人 判定 套取 活动 奖励 虚假 消费 有权 活动 期间 活动 结束 扣减 持卡人 活动 期间 买单吧  查询 活动 参与 情况 相关 达标 数据 仅供参考 获奖 最终 获奖 相关 活动 页面 公示 为准 奖励 配送 时效 方式 持卡人 获赠 积 分 年 月底 前 积分 导入 持卡人 活动 期间 指定 消费 金额 主卡 账户 名下 准 公司 卡 持卡人 获赠 积 分 奖励 积分 导入 时该 账户 状态 符合 积 分 奖励 规则 导致 积 分 导入 账户 积分 奖励 自动 取消 持卡人 获赠 实物 礼品 指定 时间 买单吧  路径 活动 精选 年 跨 年 周周刷 配送 地址 修改 礼品 安排 第三方 配送 商在 年 月底 前向 持卡人 填写 配送 地址 统一 配送 持卡人 未修改 配送 地址 配送 持卡人 系统 预留 账单 地址 持卡人 名下 多个 账单 地址 配送 最新 核发 账单 地址 配送 费用 承担 持卡人 填写 配送 地址 留存 邮寄 地址 错误 持卡人 导致 礼品 退回 视为 持卡人 自动 放弃 礼品 获赠 礼品 最终 送出 实物 为准 兑换 现金 礼品 礼品 生产商 供应商 礼品 质量 售后服务 礼品 生产商 负责 达标 持卡人 未 奖励 派送 时效 收到 奖励 活动 疑问 持卡人 应 晚于 年 月  日前 反馈 我行 超过 时效 不予 受理 条款 持卡人 发生 虚假 欺诈 套现 用于 经营性 目的 分单 违法 交易 商户 恶意 串通 形式 损害 权益 符合 活动 条件 交易 最终 撤销 退货 持卡人 账户 非正常 状态 限于 逾期 风险 管控 停止 用卡 销卡 销户 到期 未续 卡 持卡人 疑似 交易 拒绝 配合 调查 持卡人 违反 太平洋 领 合约 约定 有权 扣减 交易 取消 参加 活动 资格 保证 后续 奖励 请 持卡人 务必 保留 活动 期间 交易 签购单 发票 以备 核查 有权 持卡人 出示 活动 期间 交易 签购单 发票 给予 奖励 礼赠品 服务 生产商 供应商 礼赠品 服务 质量 礼赠品 服务 缺陷 人身 伤害 财产损失 请 持卡人 生产商 供应商 交涉 持卡人 提供 协助 持卡人 参加 活动 视为 理解 同意 活动 条款 细则 有权 中国 法律法规 修改 活动 条款 细则 限于 延迟 提前 终止 活动 更换 同等 价值 礼品 网站 相关 渠道 公告 生效 敬请 持卡人 留意,10,10,市场活动,市场活动
387,办理 现金分期 现金 转账 激活 菜 卡,8,8,好享贷,好享贷
388,记仇 求 大佬 告知  年 逾期 四期 超过 天 同年 月 停卡 销卡 申小娇 有没有 机会 手上  老农  没取 大黑  负债  征信 四个 月 查询 小贷,4,21,信用记录,销卡、销户
389,十个 账单 两次 临额 固定 撸 求 指教 两次 刷 爆 账单 第二天 款,19,19,账单,账单
390,沃尔玛 卡 参加 红五 加油 秒 减 卡上 月 最红星期五 达标 星期五 指定 加油站 加 元油 秒 减 沃尔玛 卡 参加 加油 秒 减 参加 超市 秒 减,10,10,市场活动,市场活动
391,买单吧 调额   失败  说  说 失败 坑人,20,0,还款,APP
392,棒棒 哒 新户 坐标 上海 昨天 网上 申请 审批 超级 体验 极强 收到 卡 周末 带上 材料 激活 太 用户 友好,13,13,申请,申请
393,揭秘 提额 本质 他行 四大行 高额 卡 病态 嫉妒 感 人生 首卡 普卡 年 月 征信 全白 情况  菜卡 无话可说 感恩 年 月 贱行  邮储  月  月  额度 阿娇 高 首卡 阿娇 月 月 爆卡 开 卡 半年 临额  用到 年底 提 固额 期间 申 两张 阿娇卡 下卡 额度 共享  年 月初 电话 人工 提升 固额 成功 生气 阿娇卡 销光 年 月 正式 销户 年 月 申请 菜 卡  月 申请  菜卡 月 申请  年 月初 额度 提升 贱行  邮储 .  广发  招行  行无 变化 年 月初 网申 阿娇 金卡 销户 半年 新户 审批   年 月底 阿娇 自动 提额  比阿娇 额度 高 行卡 广发  招行  比娇行 低 卡 工行  中行 .  农行 .  邮储 .  下卡近 一年 月 月 爆卡 全额 款 时至今日 行卡  总 授信 各行 额度 签名 人行 不良 征信 记录 阿娇卡 额度 各行 垫底 念 人生 首行 首卡 份 不忍 销卡 销户 无论怎样 多元化 刷卡 刷 爆 金额 期对 提固额 毫无作用 不想 临额 时 拼命 固额 倍 诱惑 申请 不用 临额 时  次 申请 提升 固额 时 提示 查询 征信 每次 查询 拒绝 提额 申请 临额 临额 刷 爆 到期 全额 还款 尝试 提固 机会 睁眼 说瞎话 用卡 综合 评估 情况 导致 暂时 调额 拒绝 查询 征信 阿娇  菜卡 养不大 后期 申请 行卡 比娇 高 想靠 养卡 提额 做 无用功 销户 半年 申首卡 参考 他行 额度 曲线 几倍 额度  曲到  首次 提额 幅度 太低 只加  常年 提额 导致 行卡 额度 超过 阿娇 大气 行如 工行 火箭 提额 十几万 他行 提额 各行 时间表 额度 变化 佐证 娇  提额 本质 他行 额度 总 授信 嫉妒 感 娇  嫉妒 四大行 高额 卡 阿娇 终于 四家 国有银行 工 中 农 邮储 额度 比娇行 低 情况 终于 施舍 一点 固定 额度 提固额 娇  耍起 人来 一套 提额  别搞 花 征 信贷 管理 记录  激发 阿娇 嫉妒 感  性 一副  我怕 痞子 嘴脸 他行 大幅 提额 万分 不爽 不爽 长期 耿耿于怀 嫉恨 心 心理 扭曲 疯狂 报复 铁了心 做 无数 贡献 老客户 提额 回报 恣意 封卡 降额 万千 撸 主 想 提额 想 薅 阿娇 羊毛 总有一天 阿娇 反 薅 一层 带血人 皮 贴子 娇行  提额  工行  菜卡 他行 额度  华夏 .  低于 娇行 贴子 娇行 .  提额 .  招行 额度 .  家 额度 .  中国  汇丰 .  渣打 . .  民生  低于 娇行 贴子 娇行 .  提额 .  贱行 额度 .  家 额度 中信  民生  平安 低于 娇行 贴子 娇行 .  提额  农业 额度  行 额度 华夏  建设   兴业  浦发  平安  民生  中信  低于 卡友 大幅 提额 贴子 证明 娇  行 额度 各行 额度 处于 前列 位置 无需 爆卡 取现 娇  持续 提额 提额 幅度 越来越 高 他行 额度 追不上 娇行 额度 处于 垫底 倒数 几名 位置 不幸 不管怎么 爆卡 做 贡献 利润 娇  提升 固额 提 万年不提 娇  嫉妒 四大行 高额 卡 四大行 总额 度  娇  打死 提固额 行数 太多 总 授信 太高 申请人 资信 财力 情况 评估 授信额度 一刀切 总 授信 限值 所有人 定性 总 授信 太高 想 搬 砖 拿下 娇行 高额 白金卡 得不偿失 沃德 理财 达标 成 优质 申首卡 白金卡 很大 概率 拒批 已有 卡 申 白金卡 拿下 额度 各行 平均 额度 低 后期 提额 困难 题外话 举个 例子 月 工行 优质 白名单 做 现金分期 期 总 手续费 .% 本金 手续费 收取 提前 款 工行 收取 剩余 未 入账 期数 手续费 工行 现金分期 总金额 征信 当期 还款 本金 手续费 大大降低 征信 工行 负债率 做  期  现金分期 总 手续费 .%  额度 融  方式 申请 信用 消费 期 等额 本息 总 利息 .% 融  提前 款 工行 收取 剩余 未 入账 期数 利息 三大行 贱 中 农 费率 不高 贱行 优质 白名单 快贷 通 年利率 低到 .% 全额 本息 到期 款 中行 账单 现金分期 优惠 每期 .% 低 搞 微信 支付宝 支付 倍 积分 银联 二维码 支付 倍 积分 回馈 活动 老农 不用说 推出 元 活动 .% 每期 账单 优惠 费率 对卡友 无比 良心 恩赐 老农 近期 推出 乐分 卡 自动 卡 期 账单 优惠 总 手续费 % 炒鸡 给力 用户 账单 现金分期 分 期 每期 费率 .% 年利率 % 极少数人 费率 折低 .% 打折 年利率 . % 娇行 账单 现金分期 提前 还清 本金 剩余 手续费 一并 收取 未 还清 本息 总额 征信 增加 负债率 阿娇 好享贷 绝大多数 每期 费率 低于 . 大部分 . 等额 本息 款 折合 年利率 % 高昂 手续费 商业银行 里 数一数二 至少 广发 民生 兴业 高 招行 平安 稍低 娇  贡献 高昂 手续费 长期 提额 真 不在乎 娇  额度 养 这么久 对娇  这口 恶气 发泄 发泄 完 撸 完 刷卡金 销卡 销户 再也 不见,22,22,额度调整,额度调整
394,刷 四周 想 被子 想 被子 刷 稳,20,20,还款,还款
395,固定 调额 失败 不用 临时 发现 买单吧 临时 第三次 随手 点 固定 查 征信 成功 临时 不用 几天 试试 提 固定,22,22,额度调整,额度调整
396,积 分 活动 求 答案 正确 答案,10,10,市场活动,市场活动
397,好享贷 提额 我用 好享贷 临时 老婆 去年 月 开卡 期间 临时 期 首提 好享贷 提额,8,8,好享贷,好享贷
398,三年 调额 三年 调额 久 打电话 客服 帮 反馈 后台 提额,22,22,额度调整,额度调整
399,官方 信息 忽悠 白金卡 核卡  天内 刷 笔  元免 首年 年费 享 机场 贵宾厅 酒后代驾 礼遇 万积 分兑 次年 年费 收费 章程     申请表 示 同意 链接 附 文件   前 回复  申请,13,13,申请,申请
400,请教 优逸 白金卡 版  联名 区别 请教,13,13,申请,申请
401,求 提额 方法 年持 原 太平洋卡  没提 几次 临额 好享贷 提了  寻思 沃尔码 积分 换 刷卡金 换沃尔码 消了 太平洋卡 但用 一年 没提 临额 期间 刷  积分 换 刷卡金 周周刷 礼品 求 指教 卡 低于  没想到 万年不提 指教,10,10,市场活动,市场活动
402,实测 白麒麟 香港 苹果 店 刷卡 积分 刚写 一篇 帖子 说 旅游 白在 香港 苹果 店 刷卡 % 返现 香港 苹果 店 没积分 商户  民生 类 程序 查询  没积分 平安 在内 家 月 日去 香港 买 手机 折合 人民币 . 元 查 积分 入账 明细 月 日 确实  积分 入账 香港 买  刷 撸 倍 积分,16,16,积分,积分
403,申请 白麒麟 降级 业务员 上门 办理  分钟 收到 短 信 降级 金卡 额度   白金 真实 醉 差  申请 开卡 提升 额度  提额,22,22,额度调整,额度调整
404,尊敬 评估 名下 尊敬 评估 名下,20,20,还款,还款
405,风控 真严 手机 闪付 超限 刷 一笔 客服 电话 问 消费 注意安全,20,20,还款,还款
406,下卡 年 提过 销卡 申,21,21,销卡、销户,销卡、销户
407,教 人品分 年 月  日  点 更新 人品分  分,20,0,还款,APP
408,求助 申卡 卡 手机 填写 身份证号 工作 单位 手机号 点 发送 验证码 跳 页面 怎么回事,0,13,APP,申请
409,业务员 以卡办卡 来个 扫楼 业务员 说 不用 拍 它行,20,0,还款,APP
410,求教 沃尔玛 卡 过期 封卡  积分 求教 卡 过期 封卡  积分 发新卡 积 分 月底 到期 积 分 没用,16,16,积分,积分
411,北京 专有  刷卡金 申请 通道 想 再战,10,10,市场活动,市场活动
412,还款 时要 细节 网购 退款 时间 限定 临时 额度 款 限定 自动 款 余额 限定 跨行 第三方 款 限定,20,20,还款,还款
413,. 号 账单 日 出账 . 号 一笔 退款 . 号 账单 日 出账 . 号 一笔 退款 这笔 退款 入账 时间 写 . 号 款 金额 没减,19,19,账单,账单
414,打电话 确认 消费 前段时间 一个月 晚上 消费 确认 消费 电话 情况 风控,10,10,市场活动,市场活动
415,价格 实用性 被子 云台 多人要 价格 实用性 被子 云台 多人要,20,20,还款,还款
416,目测 万名 以内  四五万 更新 总共 . 万 进前 万名  机会,20,0,还款,APP
417,张 优逸白 留 月   黑卡  用到 月  临额 十月 一号 过期 美滋滋 想着 过期 提固 抱歉 月 真实 加大  几笔 昨天 手痒 申了 两张 只留 优逸白 好不好 提 一点,10,10,市场活动,市场活动
418,小脚 记仇 首卡  普卡 惦记 销卡 半年 申 试试 小脚 参考 行 额度,21,21,销卡、销户,销卡、销户
419,柜台 申请 昨天 补 储蓄卡 问 说 开份 收入 证明 良民证 柜台 办理,13,13,申请,申请
420,电话 邀请 有利于 提 额度 早上 打电话 办理 有利于 提 额度,8,8,好享贷,好享贷
421,万恶 想 万恶 想 终于 还清 妈卖批 再也 不用 想 用过 想 再也 提过 固定 额度 柜台 问 办张 白金卡 学历 大专 不行 日妈 卖批 下个 账单 日 提额 撕票 人生 第一张 舍得 扔掉  额度 最低 年 月 涨 额度  元 妈卖批,22,22,额度调整,额度调整
422,老铁 破,20,20,还款,还款
423,........................................._..................................................................................,20,20,还款,还款
424,秒 批 放水 尊敬   优逸 银联 白金卡  审核 信用 额度  元 工作日 买单吧  查询卡 函 邮寄 进度 下载,6,6,卡寄送,卡寄送
425,星期五 羊毛 折买 购物 卡 划算,10,10,市场活动,市场活动
426,奇葩 提额 比登 天 难 说 气 十年 踢 额 再也 提不动  关键 工资 发 一年 二十万 收入 那点 额度 办法 换个 金卡才行 当初 普卡,22,22,额度调整,额度调整
427,固额  临时  申请 白麒麟 临时 未 标准 临时 额度 操作,22,22,额度调整,额度调整
428,记录 阿娇菜 卡 销卡  菜卡销,21,21,销卡、销户,销卡、销户
429,沃尔玛 金卡 普卡 效果 金卡 提示 卡片 月 前 申请 注销 想 申请 下普卡 试试 积分兑换 刷卡金 规则 金卡 普卡 额度 提升 超过 万,13,13,申请,申请
430,拜 娇 婊 失落 人生 第一张 ._ 年 . 万 额度 提 额涨 . 万 几年 动静 . 万 卡 多年 贡献 手续费 额度 一半 内心 挣扎 想 保留 留下 一份 记忆 年轻 时 资金周转 困难 时 帮 渡过 难关 感谢 行 一年 提到 万左右 大妈 行 大妈 一千 卡 深深 侮辱 拜 娇 婊 拜 大妈,8,8,好享贷,好享贷
431,已出 账单 优惠 求  优惠 步骤,19,8,账单,好享贷
432,收到 发 逾期 短信 艹 骗子,20,20,还款,还款
433,白金卡 万 积分兑换 年费 大佬 说 积分兑换 年费 不划算 万积 分兑 里程 能值 钱,16,16,积分,积分
434,白麒麟 每月 买单 力 达标 六个月 抵扣 年费 解读 附图 提升 买单 力 持卡人 消费  及用 卡 签约 四个 维度 提升 买单 力 消费 维度 消费 含 取现 转账 消费 元 人民币 提升 点 买单 力 美元 元 人民币 折算 持卡人 名下 如有 张 卡片 买单 力 合并 计算 附属卡 消费 计入 主卡 买单 力 年 月 日起 单月 提升 上限 调整  点 买单 力 维度 成功 元 人民币 提升 点 买单 力 美元 元 人民币 折算 持卡人 名下 如有 张 卡片 买单 力 合并 计算 业务 好享贷 想分就分 现金分期  单月 提升 上限  点 买单 力  维度 买单 力 解读 提升 页面 「  相关 提升 分值 买单 力 页面 详情 提示 为准 单月 提升 上限  点 买单 力 用卡 签约 维度 买单 力 解读 提升 页面 「 用卡 签约 相关 提升 分值 买单 力 页面 详情 提示 为准 单月 提升 上限  点 买单 力 买单 力 更新 买单 力 每日 更新 月度 统计 周期 月 买单 力 统计 月 日至 月  日 期间 发生 消费 生效  及用 卡 签约 买单 力 分值 消费 维度 消费 入账 天内 更新 消费 当月 买单 力 消费 入账 时间 超过 次 月 日 买单 力 记入 次 月 月  日 消费  元 人民币 入账 时间 月 日前 含 该笔 消费 记入 月 买单 力 入账 时间 月 日及 该笔 消费 记入 月 买单 力 发生 退货 退货 款项 入账 天内 更新 退货 当月 买单 力 退货 款项 入账 时间 超过 次 月 日 扣除 次 月 买单 力 月  日 退货 款项  元 人民币 入账 时间 月 日前 含 扣除 月 买单 力 入账 时间 月 日及 扣除 月 买单 力 维度 交易 成功 办理 业务 该笔 交易 生效 时 买单 力 计算 规则 分值 电子 账单 买单吧 账单 查询 历史 查询 每笔 生效 时间 发生 取消 时 取消 当月 金额 全额 扣减 买单 力 分值 月 取消 月 生效 一笔 总计 万元 扣减 月 买单 力 分值  维度 更新 时效 页面 详情 提示 为准 用卡 签约 维度 更新 时效 页面 详情 提示 为准 买单 力 权益 买单 力 权益 取决于 月 最终 买单 力 分值 分值 预计 每月 日 更新 权益 内容 权益 规则 权益 领取 时间 结束 时间 页面 为准 未能 时间 领取 视为 自动 放弃 不予 补发 奖励 导入 时 账户 状态 卡片 状态 符合 奖励 规则 导致 导入 账户 中 视同 自动 放弃 奖励 不予 补发 系统 原因 未能 导入 补发 持卡人 领取 奖励 时所 选择 卡片 持卡人 发生 虚假 欺诈 套现 用于 经营性 目的 分单 违法 交易 商户 恶意 串通 形式 损害 权益 符合 活动 条件 交易 最终 撤销 退货 持卡人 账户 非正常 状态 限于 逾期 风险 管控 停止 用卡 销卡 销户 到期 未续 卡 持卡人 疑似 交易 拒绝 配合 调查 持卡人 违反 太平洋 领 合约 约定 保留 相关 交易 调查核实 拒绝 持卡人 参加 活动 取消 获赠 奖励 退还 奖励 时 持卡人 账户 中 记入 相关 奖励 现金 价值 权利 有权 中国 法律法规 修改 活动 条款 细则 限于 延迟 提前 终止 活动 更换 同等 价值 礼品 网站 相关 渠道 公告 生效 敬请 卡友 留意,10,10,市场活动,市场活动
435,调整 预借现金 额度,8,22,好享贷,额度调整
436,额度 共享 卡 本来  卡 额度  激活 可用 额度 额度 共享 卡,22,22,额度调整,额度调整
437,网申 秒 批 额度 一万 激活 想 人工 申好 网申 秒 批 万 广州 人工 万 有招 广州 . 平安 民生 . 华夏 . 包商 . . 待销 . 一年 . 东亚 . 想 销掉 万左右 想申 养 额度 高,22,22,额度调整,额度调整
438,矫  有没有 积 分 如题,20,20,还款,还款
439,真 够意思 一年 提 一提 账单 日 闲来 一看 大大的 惊喜,19,19,账单,账单
440,账单 做 还款 账单 做 款 还款期 完 情况 期间 还会 临时 额度 提 固定 额度 资金周转 开 额度 刷 本来 提 固定 额度 临时 额度 固定  提到  临时  周转 临时 额度 固定 加 临时  临时 额度 到期 资金 收 回来 想 账单 做 期间 还会 临时 额度 提 固定 额度 结束 临时 提 固定 急,22,22,额度调整,额度调整
441,帮忙 问 线下 申请 办理 渠道 线下 业务员 办理 交通卡 身份证 他行 一年 自觉 征信 不大好 网贷 申请 好多 试试,13,13,申请,申请
442,提额 稳定   小提,20,0,还款,APP
443,周周刷 选择 冲到 万 第三轮  名刷 万 稳 淘汰 第四轮 万  名 看待 棘手 求解 求解,10,10,市场活动,市场活动
444,二卡 曲线 卡好 去年底 申 标金  额度 本来 换个 想想 养个 半年 提额,22,22,额度调整,额度调整
445,第三轮 报 团 第一轮 第二轮 貌似 已稳 第三轮 一个团,20,20,还款,还款
446,沃尔玛 刷卡金 够  兑换 刷卡金 明天 超市 买 成 提货 卡,16,16,积分,积分
447,很风 沃尔玛 批 地区 好像 放水 申请 查 额度,22,16,额度调整,积分
448,注销 后悔 注销 天 恢复,0,0,APP,APP
449,一年 卡 额度 没涨 有没有 告知 提升 额度  真 恶心 想 注销,22,22,额度调整,额度调整
450,邀请 白金 能破 黑屋 四月份 账单 邀请 白金 能破 账单,19,19,账单,账单
451,团 音箱 榨汁机 站队,20,20,还款,还款
452,有用 好享贷 咨询  分 期 月 后期 想 打电话  申请 循环 套路 完,8,8,好享贷,好享贷
453,积 分 咨询 月 日 拿到 卡 积分 活动 消费 笔  参与 买单吧  话费 支付宝  电费 发现 支付宝  个积 分到 账 买单吧 充值 没积分 想 问下 大佬 买单吧 充值 缴费 没积分 新卡  天 笔  刷 拿到 积分换 礼物,16,16,积分,积分
454,延迟 三天 还款 问 老板 还款 日 延迟 三天 还款 需不需要 打电话,20,20,还款,还款
455,境外 刷卡 倍 积分  天到 账 月  号 香港 消费 刷  笔 港币 万 千多 总共 拿到  积分 兑换  里程 机票 开心,16,16,积分,积分
456,买 理财 有助于 提额 一年 提 固定 想 试试 买 理财 破解 万 闲钱 一两年 十几万 万用 金 万用 金 原因 导致 提额 浦发 一年 提过,22,22,额度调整,额度调整
